Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
1332359199764119,"Aug 1, 2014",8:43:02 AM PDT,,Google fee,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,SHL24,JP,,0231551,JPY,-30,1.000000,JPY,-30
1332359199764119,"Aug 1, 2014",8:43:02 AM PDT,,Charge,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,SHL24,JP,,0231551,JPY,99,1.000000,JPY,99
1368084900277253,"Aug 1, 2014",4:54:46 PM PDT,,Google fee,,Cherry blossom LiveWallpaper,com.quan.lwp.fallingleaveslwp,0,,kltevzw,US,IL,60203,USD,-0.30,102.550000,JPY,-31
1368084900277253,"Aug 1, 2014",4:54:46 PM PDT,,Charge,,Cherry blossom LiveWallpaper,com.quan.lwp.fallingleaveslwp,0,,kltevzw,US,IL,60203,USD,0.99,102.550000,JPY,102
1380958501626173,"Aug 3, 2014",4:49:31 AM PDT,,Google fee,,Crystal 30 units,com.dhearts.monter,1,tier_25,GT-S6802B,US,OR,97534,USD,-5.83,102.550000,JPY,-598
1380958501626173,"Aug 3, 2014",4:49:31 AM PDT,,Charge,,Crystal 30 units,com.dhearts.monter,1,tier_25,GT-S6802B,US,OR,97534,USD,19.43,102.550000,JPY,1993
1384535003499716,"Aug 5, 2014",3:23:36 PM PDT,,Google fee,,Crystal 1 units,com.dhearts.monter,1,tier_1,marvel,US,SC,29574,USD,-0.30,102.570000,JPY,-31
1384535003499716,"Aug 5, 2014",3:23:36 PM PDT,,Charge,,Crystal 1 units,com.dhearts.monter,1,tier_1,marvel,US,SC,29574,USD,0.99,102.570000,JPY,102
1373628073349896,"Aug 5, 2014",3:31:53 PM PDT,,Google fee,,Crystal 1 units,com.dhearts.monter,1,tier_1,marvel,US,SC,29574,USD,-0.30,102.570000,JPY,-31
1373628073349896,"Aug 5, 2014",3:31:53 PM PDT,,Charge,,Crystal 1 units,com.dhearts.monter,1,tier_1,marvel,US,SC,29574,USD,0.99,102.570000,JPY,102
1324228756801911,"Aug 5, 2014",4:17:29 PM PDT,,Google fee,,Crystal 1 units,com.dhearts.monter,1,tier_1,marvel,US,SC,29574,USD,-0.30,102.570000,JPY,-31
1324228756801911,"Aug 5, 2014",4:17:29 PM PDT,,Charge,,Crystal 1 units,com.dhearts.monter,1,tier_1,marvel,US,SC,29574,USD,0.99,102.570000,JPY,102
1338636680134084,"Aug 5, 2014",4:19:49 PM PDT,,Google fee,,Crystal 1 units,com.dhearts.monter,1,tier_1,marvel,US,SC,29574,USD,-0.30,102.570000,JPY,-31
1338636680134084,"Aug 5, 2014",4:19:49 PM PDT,,Charge,,Crystal 1 units,com.dhearts.monter,1,tier_1,marvel,US,SC,29574,USD,0.99,102.570000,JPY,102
1365450212710392,"Aug 5, 2014",4:20:28 PM PDT,,Google fee,,Crystal 1 units,com.dhearts.monter,1,tier_1,marvel,US,SC,29574,USD,-0.30,102.570000,JPY,-31
1365450212710392,"Aug 5, 2014",4:20:28 PM PDT,,Charge,,Crystal 1 units,com.dhearts.monter,1,tier_1,marvel,US,SC,29574,USD,0.99,102.570000,JPY,102
