Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
1397951661038416,2013-10-01,1380613675,Charged,ST25i,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,30286,TW
1346044376828216,2013-10-01,1380633794,Charged,C6802,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,302,TW
1326585100101126,2013-10-01,1380641123,Charged,ISW11SC,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,岡山県和気郡和気町福富,岡山県,7090442,JP
1309269848053003,2013-10-01,1380641941,Charged,t03g,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,220,TW
1374522917116699,2013-10-01,1380661811,Charged,m0,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,235,TW
1362875899915727,2013-10-01,1380663317,Charged,t03g,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,333,TW
1310389279898286,2013-10-02,1380693795,Charged,m7,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,242,TW
1364091702786033,2013-10-02,1380703702,Charged,LT18i,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,412,TW
1389035384681055,2013-10-02,1380712192,Charged,GT-I9100T,Cherry blossom LiveWallpaper,com.quan.lwp.fallingleaveslwp,paidapp,,AUD,0.99,0.00,0.99,,,3316,AU
1396918039028473,2013-10-02,1380730550,Charged,dlxub1,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,235,TW
1360743170802553,2013-10-04,1380849947,Charged,valentewxc9,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,807,TW
1349022419154227,2013-10-04,1380866899,Charged,holiday,Cherry blossom LiveWallpaper,com.quan.lwp.fallingleaveslwp,paidapp,,USD,0.99,0.00,0.99,,,72120,US
1377806811568700,2013-10-04,1380930568,Charged,dlxub1,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,220,TW
1350490662369418,2013-10-05,1380940747,Charged,LT26i,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,111,TW
1304148552676296,2013-10-05,1381000876,Charged,dlxj,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,519-0137,JP
1345473617272682,2013-10-05,1381008824,Charged,ja3g,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,238,TW
1344526653004681,2013-10-06,1381045334,Charged,C6802,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,八王子市,TOKYO,1920044,JP
1363105553346508,2013-10-06,1381051644,Charged,dlxpul,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,40741,TW
1321195136562514,2013-10-06,1381052080,Charged,LT25i,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,402,TW
1335037450043142,2013-10-06,1381053163,Charged,SH01D,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,比企郡鳩山町竹本,埼玉県,3500306,JP
