Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category	CMB	Device	Supported Platforms
APPLE	US	DheartsPicLogic	D Hearts Vietnam	PicLogic	1.2	1F	1	0	10/31/2015	10/31/2015	USD	US	USD	945922747	0	 	 	 	 	Games		iPad	iOS
APPLE	US	DheartsPicLogic	D Hearts Vietnam	PicLogic	1.2	1F	1	0	10/31/2015	10/31/2015	JPY	JP	JPY	945922747	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	StickmanStriker	D Hearts Vietnam	Stickman Striker	2.0.3	1F	40	0	10/31/2015	10/31/2015	JPY	JP	JPY	1002324417	0	 	 	 	 	Games		iPod touch	iOS
APPLE	US	StickmanStriker	D Hearts Vietnam	Stickman Striker	2.0.3	1F	187	0	10/31/2015	10/31/2015	JPY	JP	JPY	1002324417	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	StickmanStriker	D Hearts Vietnam	Stickman Striker	2.0.3	1F	23	0	10/31/2015	10/31/2015	JPY	JP	JPY	1002324417	0	 	 	 	 	Games		iPad	iOS
APPLE	US	StickmanStriker 	D Hearts Vietnam 	Stickman Striker 	2.0.3	7F	1	0	10/31/2015	10/31/2015	CAD	CA	CAD	1002324417	0	 	 	 	 	Games		iPad	iOS
APPLE	US	LabyrinthBattle	D Hearts Vietnam	Labyrinth of Battle	1.2	1F	1	0	10/31/2015	10/31/2015	JPY	JP	JPY	959778297	0	 	 	 	 	Games		iPad	iOS
APPLE	US	LabyrinthBattle	D Hearts Vietnam	Labyrinth of Battle	1.2	1F	1	0	10/31/2015	10/31/2015	USD	US	USD	959778297	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	DheartsPicLogic	D Hearts Vietnam	PicLogic	1.2	1F	1	0	10/31/2015	10/31/2015	EUR	NL	EUR	945922747	0	 	 	 	 	Games		iPod touch	iOS
APPLE	US	StickmanStriker 	D Hearts Vietnam 	Stickman Striker 	2.0.3	7F	1	0	10/31/2015	10/31/2015	EUR	BE	EUR	1002324417	0	 	 	 	 	Games		iPod touch	iOS
APPLE	US	LabyrinthBattle 	D Hearts Vietnam 	Labyrinth of Battle 	1.2	7F	1	0	10/31/2015	10/31/2015	CNY	CN	CNY	959778297	0	 	 	 	 	Games		iPad	iOS
APPLE	US	StickmanStriker	D Hearts Vietnam	Stickman Striker	2.0.3	1F	19	0	10/31/2015	10/31/2015	CNY	CN	CNY	1002324417	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	StickmanStriker 	D Hearts Vietnam 	Stickman Striker 	2.0.3	3F	15	0	10/31/2015	10/31/2015	CNY	CN	CNY	1002324417	0	 	 	 	 	Games		iPhone	iOS
