Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	18	0	01/01/2013	12/31/2013	EUR	BE	EUR	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	1	0	01/01/2013	12/31/2013	IDR	ID	IDR	512427818	0	 	 	 	 	Games
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	1	0	01/01/2013	12/31/2013	EUR	IE	EUR	503030130	0	 	 	 	 	 
APPLE	US	070212	D Hearts Vietnam	LIGHTS OUT V	1.0	1	1	.54	01/01/2013	12/31/2013	EUR	ES	EUR	500958359	.89	 	 	 	 	 
APPLE	US	310512	D Hearts Vietnam	StarMine V1.0	1.0	1	1	0	01/01/2013	12/31/2013	USD	PH	USD	532110894	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	7	1	0	01/01/2013	12/31/2013	MXN	MX	MXN	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	1	0	01/01/2013	12/31/2013	DKK	DK	DKK	512427818	0	 	 	 	 	Games
APPLE	US	310512	D Hearts Vietnam	StarMine V1.0	1.0	1	27	0	01/01/2013	12/31/2013	USD	US	USD	532110894	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	7	2	0	01/01/2013	12/31/2013	USD	US	USD	512427818	0	 	 	 	 	Games
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	7	4	0	01/01/2013	12/31/2013	USD	VN	USD	512427818	0	 	 	 	 	 
APPLE	US	310512	D Hearts Vietnam	StarMine V1.0	1.0	1	1	0	01/01/2013	12/31/2013	TWD	TW	TWD	532110894	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	7	1	0	01/01/2013	12/31/2013	JPY	JP	JPY	512427818	0	 	 	 	 	Games
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	7	2	0	01/01/2013	12/31/2013	AUD	AU	AUD	512427818	0	 	 	 	 	Games
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	7	1	0	01/01/2013	12/31/2013	EUR	DE	EUR	512427818	0	 	 	 	 	Games
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	1	0	01/01/2013	12/31/2013	USD	DZ	USD	512427818	0	 	 	 	 	Games
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	7	0	01/01/2013	12/31/2013	AUD	AU	AUD	503030130	0	 	 	 	 	 
APPLE	US	310512	D Hearts Vietnam	StarMine V1.0	1.0	1	35	0	01/01/2013	12/31/2013	USD	VN	USD	532110894	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	2	0	01/01/2013	12/31/2013	TRY	TR	TRY	512427818	0	 	 	 	 	Games
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	1	0	01/01/2013	12/31/2013	AUD	AU	AUD	512427818	0	 	 	 	 	Games
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	3	0	01/01/2013	12/31/2013	DKK	DK	DKK	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	45	0	01/01/2013	12/31/2013	EUR	IT	EUR	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	1	0	01/01/2013	12/31/2013	SGD	SG	SGD	512427818	0	 	 	 	 	Games
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	3	0	01/01/2013	12/31/2013	TRY	TR	TRY	503030130	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	7	1	0	01/01/2013	12/31/2013	AED	AE	AED	512427818	0	 	 	 	 	Games
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	1	0	01/01/2013	12/31/2013	CHF	CH	CHF	512427818	0	 	 	 	 	Games
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	3	0	01/01/2013	12/31/2013	SGD	SG	SGD	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	4	0	01/01/2013	12/31/2013	EUR	PL	EUR	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	3	0	01/01/2013	12/31/2013	USD	AR	USD	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	1	0	01/01/2013	12/31/2013	EUR	PT	EUR	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	7	1	0	01/01/2013	12/31/2013	IDR	ID	IDR	512427818	0	 	 	 	 	Games
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	5	0	01/01/2013	12/31/2013	USD	MY	USD	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	3	0	01/01/2013	12/31/2013	NOK	NO	NOK	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	1	0	01/01/2013	12/31/2013	USD	AM	USD	512427818	0	 	 	 	 	 
APPLE	US	310512	D Hearts Vietnam	StarMine V1.0	1.0	1	6	0	01/01/2013	12/31/2013	EUR	FR	EUR	532110894	0	 	 	 	 	 
