Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category	CMB
APPLE	US	DH230314	D Hearts Vietnam	Monster Dungeons	1.0	1	6	0	01/01/2014	12/31/2014	EUR	IT	EUR	843984635	0	 	 	 	 	Games	
APPLE	US	DH121213	D Hearts Vietnam	忍者レジェンド - 手裏剣を投げまくれ！	1.0.3	1F	4	0	01/01/2014	12/31/2014	USD	VN	USD	780308939	0	 	 	 	 	Games	
APPLE	US	DankHeartsGemSplash	D Hearts Vietnam	Gem Splash	1.1	7F	1	0	01/01/2014	12/31/2014	EUR	NL	EUR	902261722	0	 	 	 	 	Games	
APPLE	US	DankHeartsGemSplash	D Hearts Vietnam	Gem Splash	1.1	1F	2	0	01/01/2014	12/31/2014	USD	US	USD	902261722	0	 	 	 	 	Games	
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	4	0	01/01/2014	12/31/2014	USD	VN	USD	503030130	0	 	 	 	 	Games	
APPLE	US	DH121213	D Hearts Vietnam	忍者レジェンド - 手裏剣を投げまくれ！	1.0.8	7F	1	0	01/01/2014	12/31/2014	SGD	SG	SGD	780308939	0	 	 	 	 	Games	
APPLE	US	DheartsBeezle	D Hearts Vietnam	Beezle	1.0	1F	1	0	01/01/2014	12/31/2014	EUR	RO	EUR	900295874	0	 	 	 	 	Games	
APPLE	US	DH200314	D Hearts Vietnam	Fruit Smash 3D	1.0	1F	4	0	01/01/2014	12/31/2014	USD	UA	USD	843986939	0	 	 	 	 	Games	
APPLE	US	DheartsGodziJump	D Hearts Vietnam	Godzi Jump	1.1	1F	1	0	01/01/2014	12/31/2014	EUR	NL	EUR	903772675	0	 	 	 	 	Games	
APPLE	US	DH230314	D Hearts Vietnam	Monster Dungeons	1.0	1	1	0	01/01/2014	12/31/2014	CHF	CH	CHF	843984635	0	 	 	 	 	Games	
APPLE	US	DH121213	D Hearts Vietnam	忍者レジェンド - 手裏剣を投げまくれ！	1.0.6	1F	1	0	01/01/2014	12/31/2014	DKK	DK	DKK	780308939	0	 	 	 	 	Games	
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	3	0	01/01/2014	12/31/2014	INR	IN	INR	503030130	0	 	 	 	 	Games	
APPLE	US	DheartsBeezle	D Hearts Vietnam	Beezle	1.0	1F	1	0	01/01/2014	12/31/2014	INR	IN	INR	900295874	0	 	 	 	 	Games	
APPLE	US	DH200314	D Hearts Vietnam	Fruit Smash 3D	1.0	1F	9	0	01/01/2014	12/31/2014	GBP	GB	GBP	843986939	0	 	 	 	 	Games	
APPLE	US	DankHeartsGemSplash	D Hearts Vietnam	Gem Splash	1.0	1F	9	0	01/01/2014	12/31/2014	CAD	CA	CAD	902261722	0	 	 	 	 	Games	
APPLE	US	DankHeartsGemSplash	D Hearts Vietnam	Gem Splash	1.2	7F	1	0	01/01/2014	12/31/2014	USD	PH	USD	902261722	0	 	 	 	 	Games	
APPLE	US	DheartsBeezle	D Hearts Vietnam	Beezle	1.1	7F	1	0	01/01/2014	12/31/2014	USD	MY	USD	900295874	0	 	 	 	 	Games	
APPLE	US	DheartsGodziJump	D Hearts Vietnam	Godzi Jump	1.2	7F	1	0	01/01/2014	12/31/2014	USD	PH	USD	903772675	0	 	 	 	 	Games	
APPLE	US	DH160514	D Hearts Vietnam	3D Puzzle Cubes	1.2	1F	1	0	01/01/2014	12/31/2014	AUD	AU	AUD	879400899	0	 	 	 	 	Games	
APPLE	US	DH121213	D Hearts Vietnam	忍者レジェンド - 手裏剣を投げまくれ！	1.0.5	7F	159	0	01/01/2014	12/31/2014	JPY	JP	JPY	780308939	0	 	 	 	 	Games	
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	7	1	0	01/01/2014	12/31/2014	USD	TH	USD	512427818	0	 	 	 	 	Games	
APPLE	US	DH160514	D Hearts Vietnam	3D Puzzle Cubes	1.1	1F	1	0	01/01/2014	12/31/2014	EUR	FI	EUR	879400899	0	 	 	 	 	Games	
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	713	0	01/01/2014	12/31/2014	JPY	JP	JPY	512427818	0	 	 	 	 	Games	
APPLE	US	DheartsPicLogic	D Hearts Vietnam	PicLogic	1.0	1F	1	0	01/01/2014	12/31/2014	IDR	ID	IDR	945922747	0	 	 	 	 	Games	
APPLE	US	DheartTsumiDice	D Hearts Vietnam	Tsumi Dice	1.0	1F	1	0	01/01/2014	12/31/2014	EUR	CZ	EUR	906602074	0	 	 	 	 	Games	
APPLE	US	DH200314	D Hearts Vietnam	Fruit Smash 3D	1.0	1F	9	0	01/01/2014	12/31/2014	CAD	CA	CAD	843986939	0	 	 	 	 	Games	
APPLE	US	DH160514	D Hearts Vietnam	3D Puzzle Cubes	1.1	7F	14	0	01/01/2014	12/31/2014	EUR	NL	EUR	879400899	0	 	 	 	 	Games	
APPLE	US	DH121213	D Hearts Vietnam	忍者レジェンド - 手裏剣を投げまくれ！	1.0.2	1F	5	0	01/01/2014	12/31/2014	NZD	NZ	NZD	780308939	0	 	 	 	 	Games	
APPLE	US	DheartsGodziJump	D Hearts Vietnam	Godzi Jump	1.1	1F	6	0	01/01/2014	12/31/2014	CNY	CN	CNY	903772675	0	 	 	 	 	Games	
APPLE	US	DheartsPicLogic	D Hearts Vietnam	PicLogic	1.0	1F	1	0	01/01/2014	12/31/2014	USD	PH	USD	945922747	0	 	 	 	 	Games	
